Employee,Department,Location,Sex, Salary ,Date Hired,Exempt
Steven Yarbrough,Finance,Massachusetts,Male,"$40,883.00 ",12/14/1995,FALSE
Maria Silva,Management,Washington,Female,"$61,080.00 ",12/20/1995,TRUE
Sherrie Landry,Management,Pennsylvania,Female,"$50,429.00 ",1/11/1996,FALSE
Jesus Farrington,Management,New York,Male,"$33,678.00 ",3/12/1996,FALSE
Glenda Phillips,Management,New York,Female,"$57,281.00 ",3/17/1996,TRUE
Robert Farmer,Management,California,Male,"$30,687.00 ",4/12/1996,FALSE
Sam Axtell,Marketing,Washington,Male,"$40,531.00 ",4/15/1996,FALSE
Kristin Beaton,Marketing,Pennsylvania,Female,"$47,464.00 ",4/17/1996,FALSE
Lori Q. Waters,Marketing,Massachusetts,Female,"$42,607.00 ",5/11/1996,FALSE
Shirley Miller,Marketing,Massachusetts,Female,"$61,112.00 ",6/14/1996,TRUE
Dianne Wong,Technology,New York,Female,"$46,780.00 ",6/17/1996,FALSE
Cheryl Cory,Technology,California,Female,"$84,455.00 ",6/20/1996,TRUE
Kevin Grant,Finance,New York,Male,"$27,325.00 ",6/24/1996,FALSE
Stephen C. Carter,Management,Massachusetts,Male,"$35,136.00 ",7/6/1996,FALSE
Elsie Haines,Management,New York,Female,"$84,776.00 ",7/14/1996,TRUE
Elinor Love,Finance,California,Female,"$46,104.00 ",7/29/1996,FALSE
Goldie Almond,Technology,Massachusetts,Female,"$21,326.00 ",8/1/1996,FALSE
Pat Fisher,Technology,Pennsylvania,Male,"$45,071.00 ",8/26/1996,FALSE
Goldie Lahr,Finance,California,Female,"$44,833.00 ",10/31/1996,FALSE
Alan Hudson,Technology,New York,Male,"$24,970.00 ",11/7/1996,FALSE
Dennis R. Waxman,Technology,California,Male,"$29,560.00 ",11/10/1996,FALSE
Curtis Miller,Technology,Arizona,Male,"$23,401.00 ",11/24/1996,FALSE
Jeffrey Ritter,Technology,Pennsylvania,Male,"$47,014.00 ",12/20/1996,FALSE
Vada Mcintosh,Technology,California,Female,"$56,377.00 ",1/24/1997,TRUE
Christine Poundsworth,Technology,New York,Female,"$42,923.00 ",3/15/1997,FALSE
PhyllisTodd,Finance,Massachusetts,Female,"$49,344.00 ",3/29/1997,FALSE
Steven H. Katz,Technology,California,Male,"$69,978.00 ",4/7/1997,TRUE
Erica Gentile,Technology,Massachusetts,Female,"$39,055.00 ",4/15/1997,FALSE
Roy Lindsey,Finance,California,Male,"$26,009.00 ",4/21/1997,FALSE
Janice Reynolds,Finance,New York,Female,"$44,145.00 ",4/24/1997,FALSE
Josh Chiu,Finance,Massachusetts,Male,"$48,634.00 ",7/4/1997,FALSE
Francine H. Dundas,Finance,Washington,Female,"$23,279.00 ",7/13/1997,FALSE
Anthony Taylor,Finance,Washington,Male,"$81,806.00 ",8/8/1997,TRUE
Ruby Smith,Finance,California,Female,"$26,295.00 ",9/22/1997,FALSE
Deborah Sherman,Finance,California,Female,"$67,688.00 ",9/24/1997,TRUE
Bryan Demarco,Finance,Pennsylvania,Male,"$20,914.00 ",10/10/1997,FALSE
Robert Ballard,Finance,Massachusetts,Male,"$21,379.00 ",10/10/1997,FALSE
Booker Dunmire,Finance,New York,Male,"$61,952.00 ",11/11/1997,TRUE
Clark Bickerson,Finance,Washington,Male,"$32,303.00 ",1/6/1998,FALSE
Douglas Williams,Finance,Washington,Male,"$80,465.00 ",1/24/1998,TRUE
Betty Myers,Finance,New York,Female,"$57,710.00 ",1/27/1998,TRUE
Geoffrey Dant,Finance,Massachusetts,Male,"$47,220.00 ",4/5/1998,FALSE
Ashley Miller,Finance,New York,Female,"$20,099.00 ",4/6/1998,FALSE
Fred Dickison,Finance,California,Male,"$46,980.00 ",5/9/1998,FALSE
Peggy Craig,Finance,Arizona,Female,"$20,019.00 ",5/18/1998,FALSE
Ethel Blaylock,Finance,New York,Female,"$79,385.00 ",6/25/1998,TRUE
Guillermo W. Phillips,Technology,California,Male,"$59,797.00 ",7/1/1998,TRUE
Barbara Roark,Technology,California,Female,"$59,204.00 ",7/18/1998,TRUE
Robert H. Miller,Technology,Washington,Male,"$47,877.00 ",8/5/1998,FALSE
Stephen C. Carter,Technology,Washington,Male,"$46,921.00 ",8/22/1998,FALSE
Lois Mcwilliams,Technology,New York,Female,"$29,927.00 ",9/9/1998,FALSE
Irene Schreiber,Technology,California,Female,"$22,398.00 ",10/1/1998,FALSE
Royce Gilbert,Technology,Massachusetts,Male,"$55,700.00 ",10/3/1998,TRUE
Arthur Clayson,Technology,Massachusetts,Male,"$49,647.00 ",10/29/1998,FALSE
Jeffrey P. Jones,Technology,Massachusetts,Male,"$39,145.00 ",10/30/1998,FALSE
Michael Hayden,Technology,California,Male,"$40,390.00 ",11/9/1998,FALSE
Korey Davis,Technology,Pennsylvania,Male,"$51,243.00 ",11/10/1998,FALSE
Charles S. Billings,Technology,Massachusetts,Male,"$51,723.00 ",11/12/1998,FALSE
Joseph Christensen,Technology,Massachusetts,Male,"$21,607.00 ",2/13/1999,FALSE
Jeffrey Sharp,Management,New York,Male,"$78,789.00 ",3/4/1999,TRUE
James Millen,Management,Washington,Male,"$78,753.00 ",3/14/1999,TRUE
Danny Salinas,Management,California,Male,"$30,330.00 ",3/22/1999,FALSE
Kurt Kamichoff,Management,California,Male,"$79,120.00 ",3/28/1999,TRUE
Jason J. Marshall,Management,New York,Male,"$36,877.00 ",4/5/1999,FALSE
Robert Nipper,Management,Washington,Male,"$24,275.00 ",5/10/1999,FALSE
Connie Combs,Management,New York,Female,"$71,166.00 ",5/22/1999,TRUE
Jeffrey P. Jones,Management,New York,Male,"$27,431.00 ",6/8/1999,FALSE
Marina W. Fuller,Management,New York,Female,"$47,684.00 ",7/13/1999,FALSE
Juan Law,Management,Massachusetts,Male,"$82,657.00 ",7/17/1999,TRUE
Joel Maser,Management,California,Male,"$35,498.00 ",7/23/1999,FALSE
Christian Reynolds,Management,Massachusetts,Male,"$41,209.00 ",8/17/1999,FALSE
Jeffrey Vaughn,Management,Massachusetts,Male,"$41,400.00 ",9/7/1999,FALSE
Barbara Stolz,Management,California,Female,"$47,154.00 ",9/22/1999,FALSE
Katherine J. Smith,Management,Massachusetts,Female,"$56,911.00 ",10/3/1999,TRUE
Esther Rice,Management,Massachusetts,Female,"$61,254.00 ",10/15/1999,TRUE
David Adam,Management,California,Male,"$49,172.00 ",10/20/1999,FALSE
Manuel Cannon,Finance,Massachusetts,Male,"$67,193.00 ",10/31/1999,TRUE
Jodie Crowley,Finance,Massachusetts,Female,"$41,492.00 ",11/11/1999,FALSE
Rodney Sharpe,Finance,Massachusetts,Male,"$82,751.00 ",12/15/1999,TRUE
Janet Stewart,Finance,California,Female,"$55,464.00 ",12/27/1999,TRUE
Willie Paris,Finance,New York,Female,"$38,514.00 ",1/22/2000,FALSE
Richard Curtis,Marketing,Massachusetts,Male,"$44,297.00 ",2/14/2000,FALSE
Rae Walton,Marketing,Washington,Female,"$48,368.00 ",2/28/2000,FALSE
Salvatore Henderson,Marketing,California,Male,"$26,453.00 ",4/14/2000,FALSE
Leah Clancy,Marketing,Massachusetts,Female,"$28,508.00 ",4/27/2000,FALSE
Tomasa Speer,Marketing,California,Female,"$66,617.00 ",5/4/2000,TRUE
Michael Hayden,Marketing,California,Male,"$43,757.00 ",5/25/2000,FALSE
Earnest Hale,Marketing,New York,Male,"$21,009.00 ",5/29/2000,FALSE
Enid Gilbert,Marketing,New York,Female,"$82,384.00 ",6/3/2000,TRUE
Robert Alexander,Marketing,Arizona,Male,"$43,718.00 ",6/19/2000,FALSE
Jeffrey P. Jones,Marketing,California,Male,"$22,217.00 ",6/23/2000,FALSE
Steven H. Katz,Marketing,Pennsylvania,Male,"$77,918.00 ",6/25/2000,TRUE
George Elmore,Marketing,Washington,Male,"$50,906.00 ",10/3/2000,FALSE
Nicholas Trejo,Marketing,Pennsylvania,Male,"$64,934.00 ",10/25/2000,TRUE
Kenneth Credle,Marketing,California,Male,"$31,251.00 ",11/5/2000,FALSE
Ray Bortz,Marketing,California,Male,"$61,858.00 ",11/27/2000,TRUE
Kurt Kamichoff,Marketing,New York,Male,"$62,479.00 ",11/29/2000,TRUE
Christopher Hudson,Marketing,Pennsylvania,Male,"$38,962.00 ",12/7/2000,FALSE
Linda Boston,Marketing,Massachusetts,Female,"$79,392.00 ",12/10/2000,TRUE
Cassandra Jackson,Marketing,Arizona,Female,"$82,174.00 ",12/12/2000,TRUE
Sharon Henry,Marketing,California,Female,"$62,867.00 ",12/24/2000,TRUE
Sandra Cotta,Marketing,Massachusetts,Female,"$37,867.00 ",1/5/2001,FALSE
Oscar Lee,Marketing,Massachusetts,Male,"$52,464.00 ",2/6/2001,FALSE
Jason Joseph,Marketing,Massachusetts,Male,"$56,649.00 ",2/7/2001,TRUE
Nadine Blankenship,Marketing,New York,Female,"$63,392.00 ",2/21/2001,TRUE
Sean Grantham,Marketing,California,Male,"$62,649.00 ",3/1/2001,TRUE
PhyllisTodd,Marketing,Pennsylvania,Female,"$42,278.00 ",3/15/2001,FALSE
Erica Marshall,Marketing,Pennsylvania,Female,"$53,426.00 ",4/23/2001,FALSE
Clarissa Christiansen,Marketing,California,Female,"$58,039.00 ",4/24/2001,TRUE
Jillian Koster,Marketing,Massachusetts,Female,"$71,016.00 ",6/19/2001,TRUE
Micheal Chadwick,Marketing,California,Male,"$70,361.00 ",7/9/2001,TRUE
Charles Bingham,Marketing,California,Male,"$25,095.00 ",7/27/2001,FALSE
Susan Morgan,Marketing,Pennsylvania,Female,"$27,734.00 ",8/9/2001,FALSE
Stephanie Hill,Marketing,Massachusetts,Female,"$44,249.00 ",8/18/2001,FALSE
Cheryl Gaymon,Marketing,California,Female,"$39,738.00 ",8/21/2001,FALSE
Patrick Angell,Marketing,California,Male,"$36,822.00 ",9/30/2001,FALSE
Melvin Jordan,Marketing,Washington,Male,"$48,041.00 ",10/17/2001,FALSE
Stephen C. Carter,Marketing,Arizona,Male,"$35,470.00 ",11/10/2001,FALSE
Kimberly Barefoot,Marketing,California,Female,"$41,004.00 ",1/13/2002,FALSE
Rick Fogerty,Marketing,Washington,Male,"$79,042.00 ",1/26/2002,TRUE
Jodie Tindall,Marketing,Massachusetts,Female,"$60,509.00 ",4/7/2002,TRUE
Paul Carlson,Marketing,California,Male,"$82,155.00 ",4/29/2002,TRUE
John T. Foster,Marketing,Massachusetts,Male,"$78,831.00 ",4/30/2002,TRUE
Robert Cipriani,Marketing,Massachusetts,Male,"$59,780.00 ",5/15/2002,TRUE
Martha Welborn,Marketing,Washington,Female,"$51,906.00 ",5/16/2002,FALSE
Carly Iorio,Marketing,Massachusetts,Female,"$22,856.00 ",5/28/2002,FALSE
Donna Couch,Marketing,California,Female,"$44,730.00 ",6/3/2002,FALSE
Jeff Brooks,Marketing,New York,Male,"$41,545.00 ",6/20/2002,FALSE
Joseph Oliveros,Marketing,Arizona,Male,"$78,235.00 ",7/15/2002,TRUE
Douglas Williams,Marketing,California,Male,"$54,713.00 ",7/15/2002,FALSE
Elise Bedgood,Marketing,California,Female,"$53,316.00 ",7/19/2002,FALSE
Tasha Williams,Marketing,Massachusetts,Female,"$82,818.00 ",8/12/2002,TRUE
Diane Mcmahon,Marketing,Massachusetts,Female,"$41,836.00 ",10/9/2002,FALSE
Alphonso F. Gordon,Marketing,Washington,Male,"$79,458.00 ",10/9/2002,TRUE
Janie Little,Marketing,Massachusetts,Female,"$23,510.00 ",10/20/2002,FALSE
Robert Pelkey,Marketing,Massachusetts,Male,"$41,765.00 ",10/22/2002,FALSE
Betsy D. Kelly,Marketing,New York,Female,"$20,754.00 ",11/7/2002,FALSE
Janet Silberstein,Marketing,New York,Female,"$59,603.00 ",12/3/2002,TRUE
Jason Sullivan,Marketing,Arizona,Male,"$28,126.00 ",12/14/2002,FALSE
Merlin Owens,Marketing,New York,Male,"$60,298.00 ",12/16/2002,TRUE
Richard E. Card,Marketing,California,Male,"$33,639.00 ",1/9/2003,FALSE
Pearl Lippert,Marketing,Pennsylvania,Female,"$62,260.00 ",1/20/2003,TRUE
Christopher Huff,Marketing,Washington,Male,"$43,733.00 ",2/11/2003,FALSE
John T. Foster,Marketing,Massachusetts,Male,"$42,948.00 ",4/27/2003,FALSE
Rick Fogerty,Marketing,New York,Male,"$49,368.00 ",5/5/2003,FALSE
Mary G. Brittain,Marketing,Pennsylvania,Female,"$49,857.00 ",5/27/2003,FALSE
Michael Lindsey,Marketing,California,Male,"$66,924.00 ",5/29/2003,TRUE
Gary Harrison,Marketing,New York,Male,"$20,902.00 ",6/2/2003,FALSE
Susan Orosco,Marketing,California,Female,"$71,050.00 ",6/13/2003,TRUE
Daniel Sandy,Marketing,California,Male,"$33,169.00 ",6/14/2003,FALSE
Charles S. Billings,Marketing,Pennsylvania,Male,"$42,637.00 ",6/20/2003,FALSE
Kevin E. Wishart,Marketing,Massachusetts,Male,"$46,220.00 ",6/25/2003,FALSE
David Arellano,Marketing,California,Male,"$83,638.00 ",7/12/2003,TRUE
John T. Foster,Marketing,California,Male,"$45,346.00 ",9/25/2003,FALSE
Tom Brown,Marketing,California,Male,"$57,904.00 ",11/13/2003,TRUE
Marcus Eoff,Marketing,California,Male,"$50,291.00 ",11/13/2003,FALSE
Thomas E. Abbott,Marketing,Washington,Male,"$43,051.00 ",2/21/2004,FALSE
Dawne Thompson,Marketing,Massachusetts,Female,"$83,472.00 ",4/2/2004,TRUE
Steven Cervantez,Marketing,Arizona,Male,"$44,279.00 ",7/21/2004,FALSE
Rachel Armstrong,Marketing,California,Female,"$28,790.00 ",9/6/2004,FALSE
Christopher J. Polzin,Marketing,California,Male,"$65,386.00 ",9/22/2004,TRUE
Virginia Okeefe,Marketing,California,Female,"$62,693.00 ",9/28/2004,TRUE
Roy Hilliker,Marketing,Pennsylvania,Male,"$84,363.00 ",10/16/2004,TRUE
Margaret Clark,Marketing,New York,Female,"$69,109.00 ",12/14/2004,TRUE
Kendal Alford,Marketing,Washington,Female,"$61,713.00 ",12/22/2004,TRUE
Anthony Guyette,Marketing,California,Male,"$49,073.00 ",1/27/2005,FALSE
Clarice Longenecker,Marketing,Pennsylvania,Female,"$32,339.00 ",2/5/2005,FALSE
John Edwards,Marketing,Pennsylvania,Male,"$41,773.00 ",2/6/2005,FALSE
Keith Bennett,Marketing,California,Male,"$45,250.00 ",3/28/2005,FALSE
Thomas Feather,Marketing,California,Male,"$47,145.00 ",4/17/2005,FALSE
Jessica Aten,Marketing,New York,Female,"$55,100.00 ",6/22/2005,TRUE
Brandon Cutter,Marketing,Pennsylvania,Male,"$34,578.00 ",7/11/2005,FALSE
Gerald Castro,Marketing,California,Male,"$23,292.00 ",8/13/2005,FALSE
John Ohara,Marketing,Massachusetts,Male,"$23,424.00 ",8/15/2005,FALSE
Anthony Taylor,Marketing,Massachusetts,Male,"$24,919.00 ",9/18/2005,FALSE
Fred Martin,Marketing,California,Male,"$50,489.00 ",10/1/2005,FALSE
Jamie Stowe,Marketing,Pennsylvania,Female,"$44,586.00 ",11/19/2005,FALSE
Arthur Williams,Marketing,Pennsylvania,Male,"$59,546.00 ",12/7/2005,TRUE
Stella Larue,Marketing,Massachusetts,Female,"$57,949.00 ",12/11/2005,TRUE
Charles Head,Marketing,New York,Male,"$20,225.00 ",12/19/2005,FALSE
Marc Weaver,Marketing,California,Male,"$58,983.00 ",2/6/2006,TRUE
Sarah Silva,Marketing,New York,Female,"$65,453.00 ",2/24/2006,TRUE
Linda Perez,Marketing,New York,Female,"$31,550.00 ",2/24/2006,FALSE
Kendra Weber,Marketing,Massachusetts,Female,"$81,560.00 ",3/17/2006,TRUE
Janet Silberstein,Marketing,California,Female,"$47,655.00 ",3/27/2006,FALSE
Michelle French,Marketing,California,Female,"$52,862.00 ",4/2/2006,FALSE
Alma Cruz,Marketing,New York,Female,"$57,127.00 ",4/8/2006,TRUE
Rochelle Quick,Marketing,New York,Female,"$25,657.00 ",5/1/2006,FALSE
Ruth Peel,Marketing,New York,Female,"$51,786.00 ",5/7/2006,FALSE
Lowell Harrison,Marketing,California,Male,"$24,925.00 ",6/30/2006,FALSE
Thomas E. Abbott,Marketing,Washington,Male,"$36,493.00 ",7/17/2006,FALSE
Joan Morrison,Marketing,Arizona,Female,"$32,055.00 ",7/23/2006,FALSE
Sherry F. Bennett,Marketing,New York,Female,"$27,441.00 ",7/26/2006,FALSE
Evelyn Mcmurry,Marketing,Washington,Female,"$62,703.00 ",8/13/2006,TRUE
Scott Yeldell,Marketing,New York,Male,"$33,362.00 ",8/30/2006,FALSE
Laura Wood,Marketing,New York,Female,"$77,951.00 ",9/6/2006,TRUE
Jeffrey Jones,Marketing,Washington,Male,"$34,804.00 ",9/20/2006,FALSE
Tammy Baker,Marketing,New York,Female,"$39,935.00 ",9/26/2006,FALSE
Caleb Ham,Marketing,California,Male,"$82,480.00 ",10/12/2006,TRUE
Alice J. Guerra,Marketing,Washington,Female,"$64,106.00 ",10/16/2006,TRUE
Dorothy Herrera,Marketing,New York,Female,"$82,513.00 ",10/22/2006,TRUE
Jean Rose,Marketing,Massachusetts,Female,"$51,279.00 ",11/10/2006,FALSE
Rodney Guerra,Marketing,New York,Male,"$81,075.00 ",12/8/2006,TRUE
Kelly J. Sousa,Marketing,California,Female,"$39,512.00 ",1/12/2007,FALSE
Emily Jorden,Marketing,Pennsylvania,Female,"$38,675.00 ",1/29/2007,FALSE
Zenaida Jeon,Marketing,California,Female,"$32,757.00 ",2/3/2007,FALSE
Shirley Hill,Marketing,Washington,Female,"$38,314.00 ",3/1/2007,FALSE
Richard E. Card,Marketing,Pennsylvania,Male,"$56,561.00 ",3/20/2007,TRUE
Anthony Gary,Marketing,Arizona,Male,"$45,722.00 ",4/3/2007,FALSE
Sheila Wigfall,Marketing,California,Female,"$39,712.00 ",4/9/2007,FALSE
Roy Greene,Marketing,New York,Male,"$65,553.00 ",4/17/2007,TRUE
David Pearce,Marketing,Pennsylvania,Male,"$84,178.00 ",5/7/2007,TRUE
Elidia Bode,Marketing,New York,Female,"$27,408.00 ",5/11/2007,FALSE
Tom Brown,Marketing,Massachusetts,Male,"$24,167.00 ",6/25/2007,FALSE
Lawrence Friedrich,Marketing,Washington,Male,"$43,957.00 ",7/31/2007,FALSE
Thomas H. Metz,Marketing,Massachusetts,Male,"$84,582.00 ",8/8/2007,TRUE
Penny Philbrick,Marketing,California,Female,"$21,359.00 ",9/27/2007,FALSE
Dawn Purvis,Marketing,New York,Female,"$23,360.00 ",10/18/2007,FALSE
Gregg Rhoades,Marketing,Pennsylvania,Male,"$60,586.00 ",11/2/2007,TRUE
Jeffrey Walters,Marketing,Washington,Male,"$45,044.00 ",11/26/2007,FALSE
Allison Mcewen,Marketing,Massachusetts,Female,"$42,415.00 ",12/15/2007,FALSE
Tom Brown,Marketing,Arizona,Male,"$30,714.00 ",1/29/2008,FALSE
Alfred Glenn,Marketing,New York,Male,"$55,569.00 ",3/13/2008,TRUE
Jonas Green,Marketing,California,Male,"$44,840.00 ",3/16/2008,FALSE
David Keller,Marketing,Massachusetts,Male,"$53,968.00 ",3/22/2008,FALSE
Jerry Olivo,Marketing,California,Male,"$27,164.00 ",3/26/2008,FALSE
Corinna Beltran,Marketing,Washington,Female,"$26,541.00 ",4/13/2008,FALSE
Lewis Liptak,Marketing,Arizona,Male,"$62,563.00 ",4/15/2008,TRUE
Nicholas N. Cagle,Marketing,Massachusetts,Male,"$52,767.00 ",4/24/2008,FALSE
Raymond Oneal,Marketing,New York,Male,"$63,860.00 ",5/3/2008,TRUE
Michelle Noonan,Marketing,Massachusetts,Female,"$46,337.00 ",5/6/2008,FALSE
Michael Hayden,Marketing,California,Male,"$81,882.00 ",5/9/2008,TRUE
Ronald Warren,Marketing,Pennsylvania,Male,"$79,878.00 ",5/11/2008,TRUE
Gregory Sperber,Marketing,California,Male,"$20,806.00 ",5/15/2008,FALSE
Judith Graham,Marketing,California,Female,"$30,064.00 ",6/8/2008,FALSE
Daniel Desantis,Marketing,Massachusetts,Male,"$30,542.00 ",6/26/2008,FALSE
Annie Chaidez,Marketing,New York,Female,"$46,916.00 ",7/1/2008,FALSE
Al Grubbs,Marketing,California,Male,"$49,268.00 ",7/3/2008,FALSE
Joan Morrison,Marketing,Massachusetts,Female,"$66,025.00 ",8/12/2008,TRUE
Rosemary O. Richards,Marketing,New York,Female,"$44,792.00 ",8/18/2008,FALSE
Jamie Banks,Marketing,Massachusetts,Female,"$79,453.00 ",8/27/2008,TRUE
Humberto Hoosier,Marketing,Washington,Male,"$58,013.00 ",8/30/2008,TRUE
Donna Wallace,Marketing,Pennsylvania,Female,"$36,300.00 ",9/9/2008,FALSE
Ricky Penman,Marketing,Massachusetts,Male,"$47,967.00 ",9/12/2008,FALSE
Melinda Stokes,Marketing,New York,Female,"$39,077.00 ",10/4/2008,FALSE
Rick Fogerty,Marketing,Washington,Male,"$33,252.00 ",11/2/2008,FALSE
Robert H. Miller,Marketing,California,Male,"$42,948.00 ",11/8/2008,FALSE
Teresa Allen,Marketing,California,Female,"$21,013.00 ",11/9/2008,FALSE
Janet Silberstein,Marketing,New York,Female,"$43,773.00 ",12/5/2008,FALSE
Richard E. Card,Marketing,Arizona,Male,"$68,173.00 ",12/24/2008,TRUE
Christian Moye,Marketing,New York,Male,"$40,706.00 ",1/3/2009,FALSE
David Hare,Marketing,New York,Male,"$47,555.00 ",1/16/2009,FALSE
Kellie Witherspoon,Marketing,Washington,Female,"$47,612.00 ",2/1/2009,FALSE
Olive Arsenault,Marketing,California,Female,"$35,582.00 ",4/9/2009,FALSE
Gloria Brown,Marketing,California,Female,"$64,375.00 ",5/17/2009,TRUE
Fred Moua,Marketing,New York,Male,"$36,069.00 ",5/29/2009,FALSE
Brandi Reynolds,Marketing,California,Female,"$52,446.00 ",6/10/2009,FALSE
Audrey Vogel,Marketing,Massachusetts,Female,"$44,884.00 ",7/16/2009,FALSE
John Clarke,Marketing,California,Male,"$43,465.00 ",8/4/2009,FALSE
Ronald Rouse,Marketing,Massachusetts,Male,"$80,393.00 ",8/22/2009,TRUE
